threshold,net_benefit,treat_all,ci_lower,ci_upper
0.915,-0.12205095942120175,-2.586033343818812,-0.39921358917898725,0.10821012897137462
0.92,-0.14171122994652424,-2.8101604278074888,-0.43850267379679175,0.10427807486631012
0.925,-0.11408199643493777,-3.0641711229946544,-0.39393939393939426,0.11238859180035643
0.93,-0.16119174942704373,-3.3544690603514162,-0.4508594346829643,0.08403361344537812
0.935,-0.10777457836281389,-3.6894282188399874,-0.3814582476347186,0.12834224598930483
0.9400000000000001,-0.14438502673796821,-4.08021390374332,-0.4332887700534764,0.10882352941176454
0.9450000000000001,-0.08215848322800214,-4.54205153135635,-0.3525887214389892,0.12299465240641712
0.9500000000000001,-0.1176470588235297,-5.096256684491987,-0.42245989304812903,0.10695187165775401
0.9550000000000001,-0.1467617349970295,-5.773618538324431,-0.48722519310754697,0.10160427807486631
0.9600000000000001,-0.04812834224598954,-6.620320855614987,-0.32098930481283483,0.11229946524064172
0.965,-0.07792207792207778,-7.708938120702818,-0.3836325439266611,0.0962566844919786
0.97,-0.10873440285204974,-9.160427807486624,-0.4652406417112296,0.09090909090909091
0.975,0.06417112299465241,-11.192513368983946,0.03208556149732621,0.10160427807486631
0.98,0.0374331550802139,-14.240641711229934,0.0106951871657754,0.06417112299465241
0.985,0.026737967914438502,-19.320855614973247,0.0053475935828877,0.053475935828877004
0.99,0.0106951871657754,-29.481283422459867,0.0,0.026737967914438502
0.995,0.0,-59.962566844919735,0.0,0.0
